0	-2.5	-0.459759	0	0.159758	0	0.276709
0.19	-2.46965	-0.459759	0.0525746	0.159758	0.0316423	0.276709
0.38	-2.43929	-0.453747	0.105149	0.159758	0.0632847	0.27309
0.57	-2.40894	-0.441723	0.157036	0.159758	0.0945133	0.265853
0.76	-2.37858	-0.423765	0.207549	0.159758	0.124914	0.255046
0.95	-2.34823	-0.400032	0.256007	0.159758	0.154079	0.240761
1.14	-2.31788	-0.370756	0.301752	0.159758	0.181611	0.223142
1.33	-2.28752	-0.33625	0.344149	0.159758	0.207128	0.202374
1.52	-2.25717	-0.296896	0.3826	0.159758	0.23027	0.178689
1.71	-2.22681	-0.253145	0.416551	0.159758	0.250704	0.152357
1.9	-2.19646	-0.205511	0.445499	0.159758	0.268126	0.123688
2.09	-2.16611	-0.154567	0.468999	0.159758	0.28227	0.0930271
2.28	-2.13575	-0.100936	0.486674	0.159758	0.292908	0.0607488
2.47	-2.1054	-0.0452833	0.498217	0.159758	0.299855	0.027254
2.66	-2.07504	0.011689	0.503395	0.159758	0.302971	-0.00703511
2.85	-2.04469	0.0692536	0.502058	0.159758	0.302167	-0.0416807
3.04	-2.01434	0.126665	0.494139	0.159758	0.2974	-0.0762342
3.23	-1.98398	0.183171	0.479654	0.159758	0.288683	-0.110243
3.42	-1.95363	0.238021	0.458708	0.159758	0.276076	-0.143254
3.61	-1.92327	0.290476	0.43149	0.159758	0.259695	-0.174824
3.8	-1.89292	0.339818	0.398273	0.159758	0.239703	-0.204521
3.99	-1.86257	0.385361	0.359414	0.159758	0.216316	-0.231932
4.18	-1.83221	0.426461	0.315347	0.159758	0.189794	-0.256668
4.37	-1.80186	0.462522	0.26658	0.159758	0.160443	-0.278372
4.56	-1.7715	0.493006	0.21369	0.159758	0.12861	-0.296719
4.75	-1.74115	0.517442	0.157313	0.159758	0.0946799	-0.311426
4.94	-1.7108	0.535431	0.0981424	0.159758	0.0590676	-0.322252
5.13	-1.68044	0.546654	0.0369144	0.159758	0.0222172	-0.329007
5.32	-1.65009	0.550875	-0.0255969	0.159758	-0.0154056	-0.331548
5.51	-1.61973	0.547948	-0.0885909	0.159758	-0.053319	-0.329786
5.7	-1.58938	0.537818	-0.15125	0.159758	-0.0910308	-0.323689
5.89	-1.55903	0.520522	-0.212751	0.159758	-0.128045	-0.313279
6.08	-1.52867	0.496193	-0.272274	0.159758	-0.16387	-0.298637
6.27	-1.49832	0.465058	-0.329015	0.159758	-0.19802	-0.279898
6.46	-1.46796	0.427434	-0.382196	0.159758	-0.230027	-0.257254
6.65	-1.43761	0.383729	-0.431074	0.159758	-0.259444	-0.23095
6.84	-1.40726	0.334435	-0.474954	0.159758	-0.285854	-0.201281
7.03	-1.3769	0.280122	-0.513198	0.159758	-0.308871	-0.168593
7.22	-1.34655	0.221437	-0.545231	0.159758	-0.32815	-0.133273
7.41	-1.31619	0.159088	-0.570552	0.159758	-0.34339	-0.0957483
7.6	-1.28584	0.0938442	-0.588745	0.159758	-0.354339	-0.0564807
7.79	-1.25549	0.0265197	-0.599476	0.159758	-0.360798	-0.015961
7.98	-1.22513	-0.0420319	-0.602508	0.159758	-0.362623	0.0252972
8.17	-1.19478	-0.11093	-0.597702	0.159758	-0.35973	0.0667641
8.36	-1.16443	-0.179279	-0.585017	0.159758	-0.352096	0.1079
8.55	-1.13407	-0.246177	-0.564516	0.159758	-0.339757	0.148163
8.74	-1.10372	-0.310731	-0.536365	0.159758	-0.322814	0.187015
8.93	-1.07336	-0.372066	-0.500832	0.159758	-0.301429	0.22393
9.12	-1.04301	-0.429337	-0.458285	0.159758	-0.275822	0.258399
9.31	-1.01266	-0.481743	-0.409189	0.159758	-0.246273	0.28994
9.5	-0.982301	-0.528535	-0.354101	0.159758	-0.213118	0.318102
